2016 Postal Area (POA) Code,Index of Relative Socio-economic Disadvantage,Index of Relative Socio-economic Disadvantage,Index of Relative Socio-economic Advantage and Disadvantage,Index of Relative Socio-economic Advantage and Disadvantage,Index of Economic Resources,Index of Economic Resources,Index of Education and Occupation,Index of Education and Occupation,Usual Resident Population,Data should be used with caution - area not well represented by SA1s,POA crosses state or territory boundaries
Unnamed: 0_level_1,Score,Decile,Score,Decile,Score,Decile,Score,Decile,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1
800,1066,9,1096,10,946,2,1089,9,6464,,
810,1037,8,1052,9,1014,6,1045,8,33302,,
812,1013,6,1020,7,1013,6,997,6,18873,,
815,1075,9,1096,10,1075,9,1096,9,292,Y,
820,1073,9,1094,10,1011,6,1085,9,19447,,
822,650,1,754,1,658,1,880,1,25560,,
828,970,4,979,5,942,2,993,6,1201,,
829,972,4,983,5,984,4,918,2,1839,,
830,989,5,997,6,990,5,967,5,18207,,
832,1071,9,1075,9,1060,9,1006,7,15570,,
834,1053,8,1052,9,1087,10,998,6,1836,,
835,1072,9,1070,9,1120,10,1000,6,5132,,
836,1049,8,1055,9,1114,10,969,5,7756,,
837,1001,6,989,6,1043,8,926,3,412,,
838,1044,8,1035,8,1067,9,987,6,818,,
839,993,5,965,4,917,1,907,2,548,,
840,871,1,872,1,919,1,880,1,363,,
841,973,4,968,5,1036,8,919,2,696,,
845,851,1,875,1,826,1,970,5,507,,
846,833,1,844,1,865,1,860,1,353,,
847,791,1,830,1,777,1,900,2,328,,
850,969,4,975,5,940,2,1010,7,8138,,
852,628,1,733,1,649,1,870,1,8299,,
853,1143,10,1081,9,1013,6,1045,8,857,,
854,718,1,784,1,651,1,894,1,871,,
860,857,1,891,1,828,1,969,5,2991,,
862,742,1,789,1,735,1,821,1,765,,
870,1019,7,1024,8,988,5,1036,8,19628,,
872,565,1,690,1,584,1,841,1,15469,,Y
873,870,1,913,2,913,1,942,3,2436,,
874,1117,10,1110,10,1001,5,1129,10,553,,
875,972,4,977,5,943,2,1005,7,2371,,
880,895,1,934,3,818,1,997,6,5214,,
885,1092,10,1076,9,990,5,1077,9,873,,
886,1024,7,1010,7,921,1,1037,8,1081,,
2000,977,4,1065,9,804,1,1128,10,27411,,
2007,945,3,1033,8,737,1,1125,10,8845,,
